ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2017/07,"Material, Bem ou Serviço para Distribuição",0.0
2017/07,Outros Auxílios Financeiros a Pessoas Físic,70964.76
2017/07,Outros Serviços de Terceiros - Pessoa Físic,200047.23
2017/07,Outros Serviços de Terceiros - Pessoa Juríd,6844316.45
2017/07,Passagens e Despesas com Locomoção,49606.11
2017/08,Auxílio Financeiro a Estudantes,63242.229999999996
2017/08,Auxílio Financeiro a Pesquisadores,6700.0
2017/08,Contribuições,1000.0
2017/08,Despesas de Exercícios Anteriores,184153.36
2017/08,Diárias - Civil,105294.68
2017/08,Equipamentos e Material Permanente,589652.15
2017/08,Indenizações e Restituições,1214444.48
2017/08,Locação de Mão-de-Obra,1087454.25
2017/08,Material de Consumo,741857.34
2017/08,"Material, Bem ou Serviço para Distribuição",5935.46
2017/08,Obras e Instalações,0.0
2017/08,Outros Auxílios Financeiros a Pessoas Físic,1014293.02
2017/08,Outros Serviços de Terceiros - Pessoa Físic,218645.49
2017/08,Outros Serviços de Terceiros - Pessoa Juríd,4799029.54
2017/08,Passagens e Despesas com Locomoção,44800.92
2017/09,Auxílio Financeiro a Estudantes,652490.0
2017/09,Auxílio Financeiro a Pesquisadores,22752.0
2017/09,Contribuições,14525.32
2017/09,Despesas de Exercícios Anteriores,58296.44
2017/09,Diárias - Civil,113214.42
2017/09,Equipamentos e Material Permanente,1327909.46
2017/09,Indenizações e Restituições,1217458.2
2017/09,Locação de Mão-de-Obra,1733934.76
2017/09,Material de Consumo,742611.0700000001
2017/09,Obras e Instalações,0.0
2017/09,Outros Auxílios Financeiros a Pessoas Físic,1569159.49
2017/09,Outros Serviços de Terceiros - Pessoa Físic,926815.64
2017/09,Outros Serviços de Terceiros - Pessoa Juríd,6598960.58
2017/09,Passagens e Despesas com Locomoção,81334.63
2017/10,Auxílio Financeiro a Estudantes,324815.0
2017/10,Auxílio Financeiro a Pesquisadores,12928.0
2017/10,Contribuições,83327.04
2017/10,Despesas de Exercícios Anteriores,71647.14
2017/10,Diárias - Civil,77807.34999999999
2017/10,Equipamentos e Material Permanente,7310249.64
2017/10,Indenizações e Restituições,1267120.97
2017/10,Locação de Mão-de-Obra,2223897.96
2017/10,Material de Consumo,1472562.15
2017/10,"Material, Bem ou Serviço para Distribuição",0.0
2017/10,Outros Auxílios Financeiros a Pessoas Físic,1065084.8699999999
2017/10,Outros Serviços de Terceiros - Pessoa Físic,298940.26
2017/10,Outros Serviços de Terceiros - Pessoa Juríd,5884214.07
2017/10,Passagens e Despesas com Locomoção,227590.97
2017/11,Auxílio Financeiro a Estudantes,343356.36
2017/11,Auxílio Financeiro a Pesquisadores,5359.45
2017/11,Contribuições,6200.0
2017/11,Despesas de Exercícios Anteriores,-128542.97
2017/11,Diárias - Civil,32897.22
2017/11,Equipamentos e Material Permanente,7591762.18
2017/11,Indenizações e Restituições,1523213.6
2017/11,Locação de Mão-de-Obra,-121156.57000000007
2017/11,Material de Consumo,3407673.4499999997
2017/11,"Material, Bem ou Serviço para Distribuição",43011.27
2017/11,Outros Auxílios Financeiros a Pessoas Físic,2437586.0
2017/11,Outros Serviços de Terceiros - Pessoa Físic,272002.94
2017/11,Outros Serviços de Terceiros - Pessoa Juríd,7701551.71
2017/11,Passagens e Despesas com Locomoção,112652.74
2017/12,Auxílio Financeiro a Estudantes,-536432.72
2017/12,Auxílio Financeiro a Pesquisadores,329479.46
2017/12,Contribuições,0.0
2017/12,Despesas de Exercícios Anteriores,346424.77999999997
2017/12,Diárias - Civil,-665624.6900000001
2017/12,Equipamentos e Material Permanente,2281880.29
2017/12,Indenizações e Restituições,1561684.7
2017/12,Locação de Mão-de-Obra,0.0
2017/12,Material de Consumo,908612.04
2017/12,"Material, Bem ou Serviço para Distribuição",0.0
2017/12,Obras e Instalações,0.0
2017/12,Outros Auxílios Financeiros a Pessoas Físic,521421.82
2017/12,Outros Serviços de Terceiros - Pessoa Físic,-18990.240000000005
2017/12,Outros Serviços de Terceiros - Pessoa Juríd,1470816.4500000002
