ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2016/10,Contribuições,115148.67311892207
2016/10,Despesas de Exercícios Anteriores,150215.4797006434
2016/10,Diárias - Civil,339452.94912326476
2016/10,Equipamentos e Material Permanente,10572374.066511532
2016/10,Indenizações e Restituições,2010244.8078725233
2016/10,Locação de Mão-de-Obra,411097.38643259
2016/10,Material de Consumo,3286291.198979141
2016/10,"Material, Bem ou Serviço para Distribuição",132061.79144451974
2016/10,Obras e Instalações,161235.42773403804
2016/10,Outros Auxílios Financeiros a Pessoas Físic,1303573.4636261116
2016/10,Outros Serviços de Terceiros - Pessoa Físic,675340.64906288
2016/10,Outros Serviços de Terceiros - Pessoa Juríd,7531244.135857148
2016/10,Passagens e Despesas com Locomoção,590414.7035416571
2016/10,Serviços de Consultoria,0.0
2016/11,Auxílio Financeiro a Estudantes,5192796.244918533
2016/11,Auxílio Financeiro a Pesquisadores,336167.2523595902
2016/11,Contribuições,47944.69680578483
2016/11,Despesas de Exercícios Anteriores,428027.1955078527
2016/11,Diárias - Civil,113215.99332237021
2016/11,Equipamentos e Material Permanente,10219405.951095471
2016/11,Indenizações e Restituições,2321964.801075099
2016/11,Locação de Mão-de-Obra,187806.64575903825
2016/11,Material de Consumo,4828171.189729114
2016/11,"Material, Bem ou Serviço para Distribuição",0.0
2016/11,Obras e Instalações,1881430.7478661828
2016/11,Outros Auxílios Financeiros a Pessoas Físic,2867608.733489169
2016/11,Outros Serviços de Terceiros - Pessoa Físic,405629.3384137505
2016/11,Outros Serviços de Terceiros - Pessoa Juríd,17165428.313448507
2016/11,Passagens e Despesas com Locomoção,197211.70420798837
2016/11,Serviços de Consultoria,0.0
2016/12,Auxílio Financeiro a Estudantes,129916.87776975105
2016/12,Auxílio Financeiro a Pesquisadores,459041.6974705279
2016/12,Contribuições,-1308.6347729128713
2016/12,Despesas de Exercícios Anteriores,2762080.449761292
2016/12,Diárias - Civil,-1240998.1429444898
2016/12,Equipamentos e Material Permanente,1882708.644209226
2016/12,Indenizações e Restituições,1687213.429535984
2016/12,Locação de Mão-de-Obra,-0.02973595493854304
2016/12,Material de Consumo,177337.96481248824
2016/12,"Material, Bem ou Serviço para Distribuição",0.0
2016/12,Obras e Instalações,0.0
2016/12,Outros Auxílios Financeiros a Pessoas Físic,-41109.73468287372
2016/12,Outros Serviços de Terceiros - Pessoa Físic,-214908.91270599075
2016/12,Outros Serviços de Terceiros - Pessoa Juríd,-1139651.6301516008
2016/12,Passagens e Despesas com Locomoção,-219159.44444479345
2017/01,Auxílio Financeiro a Estudantes,2464363.8408585996
2017/01,Auxílio Financeiro a Pesquisadores,0.0
2017/01,Contribuições,14812.678188720964
2017/01,Despesas de Exercícios Anteriores,910994.8387433898
2017/01,Diárias - Civil,86058.85686869634
2017/01,Equipamentos e Material Permanente,0.0
2017/01,Indenizações e Restituições,2692354.832695015
2017/01,Locação de Mão-de-Obra,463560.2197868101
2017/01,Material de Consumo,74058.42902885989
2017/01,Obras e Instalações,0.0
2017/01,Outros Auxílios Financeiros a Pessoas Físic,1292427.2082626696
2017/01,Outros Serviços de Terceiros - Pessoa Físic,67743.11130510966
2017/01,Outros Serviços de Terceiros - Pessoa Juríd,4699471.56454937
2017/01,Passagens e Despesas com Locomoção,26512.91759233184
2017/02,Auxílio Financeiro a Estudantes,4385628.14242973
2017/02,Auxílio Financeiro a Pesquisadores,0.0
2017/02,Contribuições,4059.8159541091177
2017/02,Despesas de Exercícios Anteriores,230471.78047662316
2017/02,Diárias - Civil,116993.56172045067
2017/02,Equipamentos e Material Permanente,0.0
2017/02,Indenizações e Restituições,1755955.5234205255
2017/02,Locação de Mão-de-Obra,0.0
2017/02,Material de Consumo,121388.88086500736
2017/02,Obras e Instalações,0.0
2017/02,Outros Auxílios Financeiros a Pessoas Físic,1283259.4448506862
2017/02,Outros Serviços de Terceiros - Pessoa Físic,339488.1876843941
2017/02,Outros Serviços de Terceiros - Pessoa Juríd,2609082.664497772
2017/02,Passagens e Despesas com Locomoção,230568.02025918616
2017/03,Auxílio Financeiro a Estudantes,2937148.2312218337
2017/03,Auxílio Financeiro a Pesquisadores,0.0
2017/03,Contribuições,2945.232895520036
2017/03,Despesas de Exercícios Anteriores,508146.3034309548
2017/03,Diárias - Civil,286318.7837272824
2017/03,Equipamentos e Material Permanente,13107.258311919682
2017/03,Indenizações e Restituições,1752121.3026480346
2017/03,Locação de Mão-de-Obra,737752.1684855312
2017/03,Material de Consumo,82127.92237472755
2017/03,"Material, Bem ou Serviço para Distribuição",0.0
2017/03,Outros Auxílios Financeiros a Pessoas Físic,1358531.5409234108
2017/03,Outros Serviços de Terceiros - Pessoa Físic,463439.0081579282
2017/03,Outros Serviços de Terceiros - Pessoa Juríd,7947576.739571604
2017/03,Passagens e Despesas com Locomoção,398563.22925364354
2017/04,Auxílio Financeiro a Estudantes,3210411.4501785263
2017/04,Auxílio Financeiro a Pesquisadores,39116.83690798685
2017/04,Contribuições,735.278889247873
2017/04,Despesas de Exercícios Anteriores,409299.46415405395
2017/04,Diárias - Civil,78143.7345022409
2017/04,Equipamentos e Material Permanente,0.0
2017/04,Indenizações e Restituições,2488086.7191069997
2017/04,Locação de Mão-de-Obra,459212.18040920055
2017/04,Material de Consumo,49812.42421465319
2017/04,Outros Auxílios Financeiros a Pessoas Físic,1723951.589266927
2017/04,Outros Serviços de Terceiros - Pessoa Físic,328449.63863898074
2017/04,Outros Serviços de Terceiros - Pessoa Juríd,9994208.465312814
2017/04,Passagens e Despesas com Locomoção,67205.50516212276
2017/05,Auxílio Financeiro a Estudantes,30746130.57452704
2017/05,Auxílio Financeiro a Pesquisadores,94631.11217097046
2017/05,Contribuições,5864.050328177875
2017/05,Despesas de Exercícios Anteriores,164588.79278235786
2017/05,Diárias - Civil,1506745.199211919
2017/05,Equipamentos e Material Permanente,203582.46980536438
2017/05,Indenizações e Restituições,1760676.2438736344
2017/05,Locação de Mão-de-Obra,944447.2333128932
2017/05,Material de Consumo,1040303.8880220754
2017/05,"Material, Bem ou Serviço para Distribuição",12548.950421294088
2017/05,Outros Auxílios Financeiros a Pessoas Físic,1510630.7482796214
2017/05,Outros Serviços de Terceiros - Pessoa Físic,685462.2275555858
2017/05,Outros Serviços de Terceiros - Pessoa Juríd,24747001.040732667
2017/05,Passagens e Despesas com Locomoção,1323188.695839295
2017/06,Auxílio Financeiro a Estudantes,-4261714.598595484
2017/06,Auxílio Financeiro a Pesquisadores,3085.723686797302
2017/06,Contribuições,8816.353390849434
2017/06,Despesas de Exercícios Anteriores,173792.26335966325
2017/06,Diárias - Civil,92735.60661345495
2017/06,Equipamentos e Material Permanente,339380.2339687145
2017/06,Indenizações e Restituições,2227002.8436469818
2017/06,Locação de Mão-de-Obra,2167999.7071510903
2017/06,Material de Consumo,558739.6141140705
2017/06,"Material, Bem ou Serviço para Distribuição",0.0
2017/06,Obras e Instalações,0.0
2017/06,Outros Auxílios Financeiros a Pessoas Físic,2798182.7438253653
2017/06,Outros Serviços de Terceiros - Pessoa Físic,492242.26866358874
2017/06,Outros Serviços de Terceiros - Pessoa Juríd,7571511.681532696
2017/06,Passagens e Despesas com Locomoção,315320.28801370785
2017/07,Auxílio Financeiro a Estudantes,18836.472696418357
2017/07,Auxílio Financeiro a Pesquisadores,40634.00958324646
2017/07,Contribuições,11662.547099736366
2017/07,Despesas de Exercícios Anteriores,153880.1587439382
2017/07,Diárias - Civil,279585.0734381806
2017/07,Equipamentos e Material Permanente,1348785.3928872987
2017/07,Indenizações e Restituições,1778088.2923179194
2017/07,Locação de Mão-de-Obra,1026102.1914037743
2017/07,Material de Consumo,490429.46679927415
2017/07,"Material, Bem ou Serviço para Distribuição",0.0
2017/07,Outros Auxílios Financeiros a Pessoas Físic,104025.351295555
2017/07,Outros Serviços de Terceiros - Pessoa Físic,293243.90551666333
